Refcode,metals,max_metal_coordination_n,metal_sbu_smile,linker_smile,n_sbu_point_of_extension,n_linker_point_of_extension,metal_cluster_smile,ligand_smile,n_channel,void_fraction,asa (A^2),av (A^3),pld (A),lcd (A),lfpd (A)
UFULEM04,Zn,4,[Zn](O[C]=O)O[C]=O.O,[C]1=CC(=C[C]=C1)[NH],3,3,[Zn].O,[O]C(=O)c1cc(cc(C(=O)[O])c1)[NH],1,0.0142,76.9265,12.1195,3.5384,4.36493,4.3506
KOPZOG,Ni,6,[Ni](Cl)Cl,c1nn(cn1)c1ccc2-c3ccc(N4[CH]N=C[N]4)cc3C(c2c1)(C)C,4,2,[Ni](Cl)Cl,c1nn(cn1)c1ccc2-c3ccc(N4[CH]N=C[N]4)cc3C(c2c1)(C)C,1,0.1032,907.065,405.169,4.34246,6.31614,6.31614
ZEDHUN,Cu,2,[Cu],N1=C[N]N(Cc2ccc(cc2)Cn2ncnc2)[CH]1,2,2,[Cu],N1=C[N]N(Cc2ccc(cc2)Cn2ncnc2)[CH]1,1,0.504,423.769,880.467,8.673,10.2183,10.2183
VAHFIV,Cu,3,[Cu]C#N,n1c(C)cc(C)n1Cn1nc(C)cc1C,3,2,[Cu]C#N,n1c(C)cc(C)n1Cn1nc(C)cc1C,1,0.0604,313.605,108.544,4.52678,5.55941,5.54899
NUKCIG,Zn,4,[Zn](O[C]=O)O[C]=O.O.[H].O.[H],[C]1=CC=[C]C=C1,2,2,[Zn].O.[H].O.[H],O=C(c1ccc(cc1)C(=O)[O])[O],1,0.2834,399.22,456.016,6.52856,8.70956,8.70956
APIXOO,Eu,11,[C]1O[Eu](O[C]=O)(O[C]O[Eu]2(O1)O[C]O2)O[C]=O.O.O=[C][O].O.O.O,[C]1=NC(=NC=C1)c1ccccc1,6,1,[Eu].O.O,C(=O)([O])c1ccnc(c2ccccc2)n1,1,0.239,558.882,785.601,8.58884,9.45667,9.45667
KILBUC,Cu,6,[Cu]1234O[C]O[Cu]1(O[C]O2)(O[C]O3)O[C]O4,[CH2]C(C)C,4,1,[Cu][Cu],[O]C(=O)CC(C)C,0,0,0,0,1.44334,2.27883,2.27112
SIKGAW,Cu,4,[Cu],n1ccncc1,4,2,[Cu],n1ccncc1,1,0.0364,591.843,121.706,3.95438,5.03994,4.84624
SEKLEC02,Cu,3,[Cu],c1(ccc(C(=O)OC)cc1)[S],2,1,[Cu],c1(ccc(C(=O)OC)cc1)[S],0,0,0,0,0.85066,1.54513,1.30042
MABFOM,Cu,8,[Cu]12(ON(O1)[O])ON([O])O2,N1=CC2=[N]=C([CH]1)Oc1cccc(OC3=[N]=C(C=N[CH]3)Oc3cc(O2)ccc3)c1,6,2,[Cu]12(ON(O1)[O])ON([O])O2,N1=CC2=[N]=C([CH]1)Oc1cccc(OC3=[N]=C(C=N[CH]3)Oc3cc(O2)ccc3)c1,1,0.2866,1124.13,1071.02,6.64759,7.64365,7.64365
XUNBIS,Cu,3,[Cu]C#N,n1c(cc(cc1C)C)C,3,1,[Cu]C#N,n1c(cc(cc1C)C)C,1,0.0812,169.544,78.1851,4.6688,6.49801,6.49801
ZUGXOO,Sn,5,[Sn]C.[CH3].[O][C]=O.[Sn](C)(C)(C)O[C]=O.[CH3],[C]1=CC=NC(=C1)C1=NC=C[C]=C1,2,2,[Sn](C)(C)C,O=C([O])c1ccnc(c2cc(C(=O)[O])ccn2)c1,0,0,0,0,1.90417,3.94177,3.89135
VALDOC,Cd,4,[Cd](I)I,[NH]c1ccc(Cc2ccc(cc2)[NH])cc1,2,2,[Cd](I)I,[NH]c1ccc(Cc2ccc(cc2)[NH])cc1,1,0.2312,134.057,176.044,7.01616,8.06712,8.06712
APIYAB,Eu,10,[C]1O[Eu](O[C]O[Eu](O[C]=O)(O[C]=O)(O1)[O])(O[C]=O)O[C].O.O.O.O,[C]1=CC=NC(=N1)c1ccccc1,6,1,[Eu].O.O,C(=O)(c1nc(c2ccccc2)ncc1)[O],1,0.195,563.149,613.135,8.58465,9.07279,9.07279
ZACHEQ,Zn,4,[Zn]([O])([O])(I)I,[C]1N(CCC1)CCN1[C]CCC1,2,2,[Zn](I)I,O=C1N(CCC1)CCN1C(=O)CCC1,1,0.249,260.062,382.928,7.59835,8.53325,8.53325
IFUTAE,Ag,4,[Ag]1([P](CC[P]([Ag][P](c2ccccc2)(c2ccccc2)CC[P]1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)[P](CCP(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,[S]c1ccccc1,2,1,[Ag]1([P](CC[P]([Ag][P](c2ccccc2)(c2ccccc2)CC[P]1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1)[P](CCP(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,[S]c1ccccc1,1,0.2344,625.618,897.61,8.4949,10.35443,10.35443
ERALAL,Tb,13,[C](=O)O[Tb]1(O[C]=O)O[C]O[Tb](O[C]O1)(O[C]=O)O[C]=O.O.O.O.O,[C]1=CC=C(N(Cc2ccccc2)Cc2ccccc2)C=C1,6,1,[Tb].[Tb].O.O.O.O,C(=O)([O])c1ccc(cc1)N(Cc1ccccc1)Cc1ccccc1,0,0,0,0,1.72712,5.35577,2.74853
CIXPAD,Mn,6,[Mn]([O])([O])([O])([O])([O])[O],[C]1=C(Cl)[C]=[C]C(=[C]1)Cl,6,4,[Mn],[O]c1c(Cl)c([O])c([O])c(Cl)c1[O],1,0.1862,292.003,295.29,7.69875,9.02437,9.02437
ADUJIV,Zn,6,[Zn],n1cn(c2cc(cc(c2)n2cncc2)n2cncc2)cc1,6,3,[Zn],n1cn(c2cc(cc(c2)n2cncc2)n2cncc2)cc1,1,0.3116,326.25,536.103,7.53644,8.81498,8.81498
IHIJOY,Cu,4,[Cu],n1ccccc1[CH][N][N][CH]c1ncccc1,4,4,[Cu],n1ccccc1[CH][N][N][CH]c1ncccc1,1,0.366,863.583,1427.28,10.33649,11.41703,11.41703
TEDFUE01,Cd,6,[Cd@@]1([O])(O[Cd][O])O[C]O[Cd@@](O[C])(O[C]=O)O[C]O1.O([C])[Cd](O[C]=O)O[C].O=[C][O],[C]1=NC=CC=[C]1,12,3,[Cd],O=C([O])c1c(C(=O)[O])nccc1,0,0,0,0,0.77306,1.28359,1.28182
ROKROB,Co,7,[Co]123(O[C]O1)(O[C]=O)O[C]O[Co]1(O2)(O[C]O3)(O[C]O1)O[C]=O,[C]1=CC(=C[C]=C1)C1=C[C]=C(C2=C[C]=C[C]=C2)C=[C]1,6,6,[Co]O[Co],[O]C(=O)c1cc(c2cc(C(=O)[O])c(c3cc(cc(C(=O)[O])c3)C(=O)[O])cc2C(=O)[O])cc(C(=O)[O])c1,0,0,0,0,3.07924,5.38885,5.38885
XALPOS,Ag,6,[Ag]ON(O[Ag]1ON(O1)[O])[O],S(c1ccccc1)Cc1nc(c(CSc2ccccc2)nc1CSc1ccccc1)CSc1ccccc1,6,6,[Ag]ON(O[Ag]1ON(O1)[O])[O],S(c1ccccc1)Cc1nc(c(CSc2ccccc2)nc1CSc1ccccc1)CSc1ccccc1,0,0,0,0,1.32317,2.37456,1.95908
VEFTAB,Cu,4,Cl[Cu].Cl[Cu],n1c(N)ccc2c1cccc2,2,1,Cl[Cu].Cl[Cu],n1c(N)ccc2c1cccc2,0,0,0,0,1.07268,1.46214,1.46214
XUYNUB,Cd,6,[Cd]([O])([O])(ON(=O)=O)ON(=O)=O,[C](N1CCN([C]c2ccncc2)CC1)c1ccncc1,4,4,[Cd](ON(=O)=O)ON(=O)=O,O=C(N1CCN(C(=O)c2ccncc2)CC1)c1ccncc1,0,0,0,0,0.789,1.56783,1.56783
IHIBEJ,Cu,5,[Cu]([Cu]Br)Br,C(SCc1ccccc1)CCCSCc1ccccc1,4,2,[Cu]([Cu]Br)Br,C(SCc1ccccc1)CCCSCc1ccccc1,1,0.274,254.755,514.089,8.57634,10.19395,10.19395
BIFSUF,Zn,6,[Zn]1(O[Zn]([O])([O])O[Zn](O[Zn]O1)[O])[O].O.O.O.O,n1ccc(cc1)c1ccncc1,4,2,[Zn]1(O[Zn]([O])([O])O[Zn](O[Zn]O1)[O])[O].O.O.O.O,n1ccc(cc1)c1ccncc1,0,0,0,0,1.96842,3.41833,3.41833
FUFGUJ,Mn,6,[Mn],n1ccc(C2=[N]=C(c3ccccn3)N=N2)cc1,6,3,[Mn],n1ccc(C2=[N]=C(c3ccccn3)N=N2)cc1,0,0,0,0,1.15479,2.84918,2.84918
JOJHUM02,Cd,6,[Cd]1O[C]O[Cd](O[C]=O)(O[C]O1)O[C]=O,[CH2]n1cnnn1,8,2,[Cd],O=C(Cn1cnnn1)[O],0,0,0,0,1.31582,1.96391,1.96391
ANACAV,Nd,13,[Nd]12(O[C]=O)(O[C]O[Nd]3(O[C]=O)(O[C]O3)O[C]O1)O[C]O2.O.O,[C]1=CC=CC=C1c1cc(c2ccncc2)nc(c2ccncc2)c1,8,2,[Nd][Nd].O.O,C(=O)([O])c1c(cccc1)c1cc(c2ccncc2)nc(c2ccncc2)c1,0,0,0,0,1.28409,3.76414,3.76414
PAKGEP,Ag,6,[Ag](O[C]=O)([Ag@@]12O[C]O[Ag@]1([Ag]O[C])O[C]O2)[O],[C]1=CC(=CC=C1)C,4,1,[Ag][Ag][Ag][Ag],O=C([O])c1cccc(C)c1,1,0.2468,230.744,357.024,7.5798,8.042,8.042
WUGGIP,Cu,4,[Cu]I,n1c2ccccc2n(c1)CCCCn1c2c(cccc2)nc1,3,2,[Cu]I,n1c2ccccc2n(c1)CCCCn1c2c(cccc2)nc1,1,0.0652,575.386,181.16,4.53946,6.36804,6.36804
EMOTIK,Cd,8,[Cd]1(O[C]O1)(O[C]=O)O[C]O[Cd]1O[C]O1,[CH2]C[CH]NCc1ccncc1,8,4,[Cd],O=C(CC[C@@H](C(=O)[O])NCc1ccncc1)[O],0,0,0,0,1.90272,3.18545,3.09397
AFIXAO,Co,4,[Co],N1=CN=C[CH]1,4,2,[Co],N1=CN=C[CH]1,2,0.052,609.793,297.116,4.22454,6.45266,6.45266
XIGWES,Cu,6,[Cu](ON(=O)=O)ON(=O)=O.O([Cu]ON(=O)=O)N(=O)=O,n1ccc(cc1)[CH][N][N][CH]c1ccncc1,4,2,[Cu](ON(=O)=O)ON(=O)=O.O([Cu]ON(=O)=O)N(=O)=O,n1ccc(cc1)[CH][N][N][CH]c1ccncc1,1,0.3232,291.717,599.97,8.57544,9.78228,9.78228
YEGXOZ,Mn,7,[Mn]([O])(O[C]=O)(O[C]=O)[O].[Mn](O[C]=O)(O[C]=O)([O])[O].O.O,[C]1N(C=CC=[C]1)CCCCN1[CH]C=C[C]=[C]1,8,4,[Mn].[Mn].O.O,O=c1n(cccc1C(=O)[O])CCCCn1cccc(c1=O)C(=O)[O],0,0,0,0,0.89389,2.16794,2.16794
VAGFUH,Ho,13,[C](=O)O[Ho]12(O[C]O[Ho](O[C]O1)O[C]O2)(O[C][O])O[C]=O,[C]1=CC=C(C=C1)OC,6,1,[Ho][Ho],C(=O)(c1ccc(cc1)OC)[O],1,0.1942,365.736,436.5,8.91303,9.60256,9.60256
UNIRUF06,Li,6,[Li]O[C]=O.O=[C].[Li][O].[O].[O],[CH][CH],4,4,[Li][Li],O=C([C@@H]([C@@H]([O])C(=O)[O])[O])[O],0,0,0,0,0.95865,1.29762,1.29762
BUSNEK,Sm,11,[Sm](Cl)(Cl)Cl.[Sm](Cl)Cl.[Sm](Cl)Cl.[Sm](Cl)(Cl)(Cl)Cl.Cl[Sm](Cl)Cl.Cl[Sm](Cl)(Cl)Cl,n1ccc(cc1)c1ccncc1,12,2,[Sm](Cl)(Cl)Cl.[Sm](Cl)Cl.[Sm](Cl)Cl.[Sm](Cl)(Cl)(Cl)Cl.Cl[Sm](Cl)Cl.Cl[Sm](Cl)(Cl)Cl,n1ccc(cc1)c1ccncc1,1,0.2866,591.673,1109.36,8.86841,10.33386,9.70813
REXVUL,Li,4,[Li].I[Li].[I].[Li]I.[I].[Li],n1c(c2ncccc2)cccc1,4,2,[Li].I[Li].[I].[Li]I.[I].[Li],n1c(c2ncccc2)cccc1,1,0.2574,195.57,343.311,9.27359,9.66583,9.66583
POJTUE,Fe,6,[Fe]12(O[C])([O])(O[C])O[C]O[Fe]([O])([O])(O[C]O1)O2,[C]1=CC=[C]C=C1,4,2,[Fe]([O])O[Fe],O=C([O])c1ccc(C(=O)[O])cc1,0,0,0,0,2.58045,2.86241,2.86241
CEKHEG,Ag,6,[Ag]1[Ag]([O])O[C]O1.[O].[C].[Ag](O[Ag][O])O[C].[C]=O.[Ag]1O[C]O[Ag]1[O].O=[C].[Ag]1([O])[Ag]O[C]O1.[C]=O.[Ag]O[C].[O].[Ag][O].O=[C].[Ag]12O[C]O[Ag]1O[C]O2.[Ag]([O])O[C].O([C])[Ag].[O],[CH3],14,1,[Ag].[Ag].[Ag][Ag].[Ag].[Ag].[Ag][Ag].[Ag].[Ag].[Ag][Ag].[Ag][Ag],O=C([O])C,0,0,0,0,0.77698,1.5666,1.5666
IDUDES,Cu,6,[Cu]1234[Cu](O[C]O1)(O[C]O2)(O[C]O3)O[C]O4,n1cc(ccc1)C1=C[C]=C[C]=C1,6,3,[Cu][Cu],n1cc(ccc1)c1cc(C(=O)[O])cc(C(=O)[O])c1,0,0,0,0,2.66675,4.32224,4.32224
REVGUW,Cd,6,[Cd]1(O[C])(O[C]O[Cd]([O])(O[C]O1)[O])O[C],n1cc(/C=N/c2ccc3C=[C]C=Cc3c2)ccc1,8,2,[Cd],O=C([O])c1cc2c(cc(/N=C/c3cnccc3)cc2)cc1,0,0,0,0,0.99433,1.71803,1.69719
RUBDOI,Zn,4,[Zn](O[C]=O)O[C]=O,n1ccn(c1)CC1=CC=[C]C=C1,4,2,[Zn],n1ccn(c1)Cc1ccc(C(=O)[O])cc1,1,0.1012,424.646,209.582,5.13925,6.62273,6.62273
WUZRUE,Ni,6,[Ni@@]12(O[C]O[Ni@@](O1)(O[C]=O)O[C]O2)O[C]=O,[C]1=CN=CC=C1,8,2,[Ni]O[Ni],[O]C(=O)c1cccnc1,0,0,0,0,2.32092,4.14547,3.86121
NUYDAN,Na,5,[O][Na].[O].[O].[O].O,ClC1=[C][C]=C([C]=[C]1)Cl,4,4,[Na].O,Cl[C]1C(=O)C(=O)[C](C(=O)C1=O)Cl,0,0,0,0,3.30753,4.35968,3.66179
OFIZAF,Cu,4,[Cu]Br.[Cu].[Cu].Br[Cu],n1ccc(cc1)[S],4,2,[Cu]Br.[Cu].[Cu].Br[Cu],n1ccc(cc1)[S],0,0,0,0,0.97137,1.42672,1.38205
FEVDIV,Ni,7,[Ni]1(O[C]O1)O[C]=O,n1ccc(cc1)C1=CC(=C[C]=C1)c1ccncc1,5,2,[Ni],n1ccc(cc1)c1cc(cc(c2ccncc2)c1)C(=O)[O],0,0,0,0,2.35294,3.86148,3.73843
RORJIR,Ag,4,[Ag],n1ccc(cc1)CCCc1ccncc1,4,2,[Ag],n1ccc(cc1)CCCc1ccncc1,1,0.0672,238.714,120.392,4.56141,5.95591,5.95591
SOMFEG,In,12,[In](O[C]=O)(O[C]=O)O[C]=O.O=[C][O],[C]1=CC=[C]S1,4,2,[In],O=C([O])c1ccc(C(=O)[O])s1,1,0.1156,558.793,331.131,6.30532,6.67104,6.67104
QOFBEV,Bi,8,[Bi]([O])([O])[O].[O].[O].[O].[O].[O],[C]1=[C]C(=[C][C]=C1Cl)Cl,8,4,[Bi],O=C1[C](C(=O)C(=O)[C](C1=O)Cl)Cl,1,0.459,491.045,1421.96,11.76833,13.46192,13.46192
IMUXAP,Ag,4,[Ag].O=N(=O)[O],n1ccccc1Cc1ccccn1,2,2,[Ag].O=N(=O)[O],n1ccccc1Cc1ccccn1,1,0.1008,91.5423,58.6101,5.62853,6.8994,6.8994
UBOCIX06,Zn,6,[Zn](Cl)Cl,n1ccc(c2ccncc2)cc1,2,2,[Zn](Cl)Cl,n1ccc(c2ccncc2)cc1,1,0.1948,86.993,95.6702,6.23981,6.62289,6.62289
FITGUL,Sc,6,[Sc]([O])([O])([O])([O])([O])[O],n1ccc(c2ccncc2)cc1,6,2,[Sc],[O-][n+]1ccc(c2cc[n+](cc2)[O-])cc1,1,0.2208,1067.53,1078.53,5.70758,8.11744,8.11744
YASSEQ,Co,6,[Co](O[C]=O)O[C]=O,n1cn(CC2=CC=[C]C=C2)cc1,4,2,[Co],n1cn(Cc2ccc(C(=O)[O])cc2)cc1,1,0.2412,371.043,507.42,7.58598,8.89655,8.89655
GEHMOW,Cu,5,[Cu]Cl,n1nnn(c1[N][N]c1n(nnn1)C)C,4,4,[Cu]Cl,n1nnn(c1[N][N]c1n(nnn1)C)C,0,0,0,0,0.99743,1.56694,1.5565
BAYDIO,Cd,9,[Cd]1(O[C]O[Cd]2(O[C]=O)O[C]O2)O[C]O1.O.O.O.O,[CH2][CH2],4,2,[Cd].O.O,[O]C(=O)CCC(=O)[O],1,0.0508,237.703,82.5765,3.88869,5.61531,5.16685
LIDZUW,Bi,6,[Bi](Cl)(Cl)Cl.[Cl].[Bi](Cl)Cl,n1ccc(c2ccncc2)cc1,4,2,[Bi](Cl)(Cl)Cl.[Cl].[Bi](Cl)Cl,n1ccc(c2ccncc2)cc1,1,0.5928,247.279,1559.85,18.06379,18.72136,18.72136
JIPPII,Nd,18,[Nd]1(O[C][O])(O[C]O[Nd]23(O[C]O[Nd](O[C]=O)(O[C]O2)(O[C]O3)O[C]O[Nd](O[C][O])(O[C][O])O[C])O[C]O[Nd@@](O[C]=O)(O[C]O1)O[C]O[Nd]12(O[C]=O)(O[C]O[Nd@](O[C][O])(O[C]O1)O[C]O[Nd]1(O[C]O[Nd]([O])(O[C])(O[C][O])(O[C]O1)O[C]=O)O[C]O[Nd]1(O[C]=O)(O[C]O[Nd](O[C]=O)(O[C]=O)(O[C]O1)O[C]O[Nd]1O[C]O[Nd]3(O[C]O[Nd](O[C]=O)(O[C]O[Nd]([O])(O[C][O])(O[C])O[C])(O[C]=O)(O[C]O3)O[C][O])O[C]O1)O[C]=O)O[C]O[Nd](O[C]O2)([O])([O])[O])(O[C])O[C]=O.[C]O[Nd](O[C]O[Nd]1(O[C]=O)(O[C]O[Nd](O[C]=O)([O])O[C]O1)(O[C]=O)O[C][O])(O[C])(O[C][O])O[C].[Nd](O[C])([O])([O])[O].O=[C][O],[CH3],60,1,[Nd@]123=[Nd]([Nd]4[Nd](=[Nd]54[Nd][Nd]5)[Nd]4=[Nd@@]5([Nd][Nd]5[Nd]5[Nd]6(=[Nd]5[Nd]3[Nd]1)[Nd][Nd]6)[Nd]4)[Nd]2,O=C(C)[O],1,0.2944,1379.31,2884.1,8.6931,10.93069,10.4259
NADNIQ,Ag,4,[Ag][P](c1ccccc1)(c1ccccc1)c1ccccc1,n1ccn(c1)Cc1c(C)c(Cn2cncc2)c(C)c(c1C)Cn1ccnc1,3,3,[Ag][P](c1ccccc1)(c1ccccc1)c1ccccc1,n1ccn(c1)Cc1c(C)c(Cn2cncc2)c(C)c(c1C)Cn1ccnc1,1,0.5594,497.613,2255.91,20.16653,20.98514,20.98514
FIRMAW,Ag,5,[Ag][Ag]ON(=O)=O,n1c(c2ncccc2)n(c2ccccc12)Cc1c(C)c(c(C)c(Cn2c3ccccc3nc2c2ccccn2)c1C)Cn1c(c2ncccc2)nc2ccccc12,6,6,[Ag][Ag]ON(=O)=O,n1c(c2ncccc2)n(c2ccccc12)Cc1c(C)c(c(C)c(Cn2c3ccccc3nc2c2ccccn2)c1C)Cn1c(c2ncccc2)nc2ccccc12,0,0,0,0,2.26917,4.83447,4.83447
EDUFUG,Cd,6,[Cd](Br)(Br)Br.[Cd]Br,n1ccc(C)cc1c1cc(ccn1)C,4,2,[Cd](Br)(Br)Br.[Cd]Br,n1ccc(C)cc1c1cc(ccn1)C,1,0.2886,187.812,386.288,9.738,10.02836,10.02836
CENKOW,Cu,6,[Cu]1OS([O])(O1)[O],n1cn(Cc2c(C)c(c(C)c(c2C)Cn2cncc2)Cn2cncc2)cc1,5,3,[Cu]1OS([O])(O1)[O],n1cn(Cc2c(C)c(c(C)c(c2C)Cn2cncc2)Cn2cncc2)cc1,1,0.127,490.466,309.902,5.01013,7.87388,7.87388
OHEMET,Ag,4,[Ag].[O].Cl[O].[O].[O],N#CCCNCCC#N,3,3,[Ag].[O].Cl[O].[O].[O],N#CCCNCCC#N,0,0,0,0,0.96841,1.83672,1.80339
GOBGAG,Cd,8,[Cd@]12(O[C]O[Cd@@]3(O[C]O[Cd@@]4(O[C]O[Cd@]5(O[C]O[Cd@]6(O[C])O[C]O[Cd@]7(O[C]O[Cd@@]8(O[C]O[Cd@]9([O])O[C]O[Cd@@](O[C])(O[C]O[Cd@@]%10(O[C]O[Cd@]%11(O[C])O[C]O[Cd@@]%12(O[C]O[Cd@@](O[C]O[Cd@@](O[C])(O[C]O[Cd@@](O[C]O[Cd@]%13(O[C])O[C]O[Cd@@]%14(O[C]O[Cd@]%15(O[C]O[Cd@]%16(O[C]O[Cd@@]%17([O])O[C]O[Cd@]%18(O[C]O[Cd@]([O])(O[C]O[Cd@](O[C]O%13)([O])O[C]O[Cd@](O[C]O%11)([O])O[C]O[Cd@](O[C]O%10)([O])O[C]O[Cd@]%10(O[C]O[Cd@@](O[C]O[Cd@@]%11([O])O[C]O[Cd@@]%13(O[C]O[Cd@](O[C]O[Cd@]%19(O[C]O[Cd@]([O])(O[C]O[Cd@]%20(O[C]O[Cd@](O[C]O[Cd@](O[C]O[Cd@@](O[C]O[Cd@@]%21(O[C])O[C]O[Cd@@]%22(O[C]O[Cd@@](O[C]O[Cd@@]([O])(O[C]O%19)O[C]O%21)([O])O[C]O[Cd@@]([O])(O[C]O[Cd@](O[C]O[Cd@](O[C])(O[C]O1)O[C]O[Cd@](O[C]O%22)(O[C])O[C]O3)(O[C])O[C]O%15)O[C]O%16)O[C])(O[C]O%20)O[C])(O[C]O[Cd@@](O[C])(O[C]O6)O[C]O4)O[C])(O[C]O8)[O])[O])O[C]O%13)[O])([O])O[C]O[Cd@](O[C]O%17)([O])O[C]O[Cd@](O[C]O%18)([O])O[C]O[Cd@](O[C]O%10)([O])O[C]O%11)[O])([O])O[C]O9)[O])O[C]O%14)[O])[O])O[C])O[C])(O[C])O[C]O%12)O[C]O2)(O[C]O5)O[C])O[C])O[C])O[C]O7)[O])O[C])O[C])O[C])O[C])O[C],[C]1=NC=CC=N1,288,3,[Cd],O=C(c1ncccn1)[O],1,0.236,3834.96,6416.71,5.33811,17.26454,17.26454
DUKLAZ,Cd,6,[Cd@](O[C]=O)(O[P][O])([O])O[P]O[Cd@](OP(O[Cd@@](O[P])([O])O[C]=O)O[Cd](O[C]=O)[O])([O])O[C]=O,[C]1=CC=C(C=C1)C[NH2][CH2],12,3,[Cd],[O]C(=O)c1ccc(cc1)C[NH2]CP(=O)([O])[O],0,0,0,0,0.74094,1.93202,1.93202
AJAGUO,Bi,6,[Bi](Br)Br.Br[Bi](Br)Br.[Br].[Bi](Br)(Br)Br,S(c1ccc(cc1)C#Cc1ccc([Si](c2ccc(cc2)C#Cc2ccc(SC)cc2)(c2ccc(C#Cc3ccc(SC)cc3)cc2)c2ccc(C#Cc3ccc(SC)cc3)cc2)cc1)C,2,4,[Bi](Br)Br.Br[Bi](Br)Br.[Br].[Bi](Br)(Br)Br,S(c1ccc(cc1)C#Cc1ccc([Si](c2ccc(cc2)C#Cc2ccc(SC)cc2)(c2ccc(C#Cc3ccc(SC)cc3)cc2)c2ccc(C#Cc3ccc(SC)cc3)cc2)cc1)C,1,0.3282,867.519,2767.41,14.98073,15.48156,15.14554
DULVOY,Co,6,[Co](O)O,[CH2]CCO[C]([C](C#N)C#N)[C](C#N)C#N,6,3,[Co],OCCCO[C]([C](C#N)C#N)[C](C#N)C#N,0,0,0,0,1.03659,2.02459,2.02459
KAXQOR01,Ca,10,[Ca](O[C])[O].O=[C].[Ca](O[C]=O)O[C]=O.[O],[C]1=CC=C(S(=O)(=O)C2=CC=[C]C=C2)C=C1,6,3,[Ca][Ca],[O]C(=O)c1ccc(S(=O)(=O)c2ccc(C(=O)[O])cc2)cc1,0,0,0,0,3.60411,4.36238,4.36238
FOKHIZ02,Zn,4,[Zn]12O[C]O[Zn]3(O[C]O1)O[Si]14O[Zn]5(O[C]O[Zn](O[C]O5)O[C]O[Zn]5(O[C]O[Zn](O[C]O3)O[C]O5)O1)O[C]O[Zn]1O[C]O[Zn](O4)(O[C]O2)O[C]O1,[C]1=CC=C[C]=C1,12,2,[Zn].O([Si](O[Zn])(O[Zn])O[Zn])[Zn].[Zn].[Zn].[Zn],O=C([O])c1cccc(C(=O)[O])c1,0,0,0,0,1.51861,3.40523,3.40523
VADSUP,Cu,5,[Cu]Cl.Cl[Cu](Cl)Cl,N1=C[N]N([N]1)C(C)(C)C,2,1,[Cu]Cl.Cl[Cu](Cl)Cl,N1=C[N]N([N]1)C(C)(C)C,0,0,0,0,1.09996,2.17834,2.17834
HUDMUR,Co,6,[Co](O[C]=O)(O[C]=O)(O[C]=O)O[C]=O.O.O,[C]1=CC=C(C=C1)c1nc(C2=CC=[C]C=C2)c(nc1C1=CC=[C]C=C1)C1=CC=[C]C=C1,4,4,[Co].O.O,O=C([O])c1ccc(cc1)c1nc(c2ccc(cc2)C(=O)[O])c(nc1c1ccc(C(=O)[O])cc1)c1ccc(cc1)C(=O)[O],2,0.1886,640.272,943.399,8.61076,10.46845,10.46845
IKADOP,Cu,2,[Cu],n1ccn(c1)c1ccc(c2ccc(n3cncc3)cc2)cc1,2,2,[Cu],n1ccn(c1)c1ccc(c2ccc(n3cncc3)cc2)cc1,1,0.4844,487.698,930.869,9.10821,10.82221,10.82221
XUPSIK,Pb,6,[Pb](I)(I)I.I[Pb]I.[Pb](I)I.I[Pb],n1ccc(cc1)[CH][N][N][CH]c1ccncc1,8,2,[Pb](I)(I)I.I[Pb]I.[Pb](I)I.I[Pb],n1ccc(cc1)[CH][N][N][CH]c1ccncc1,0,0,0,0,1.67435,4.65219,4.65219
DASXEC,Dy,10,[Dy]1234(O[C]O[Dy]5(O[C]O1)(O[C]O[Dy]167(O[C]O[Dy](O[C]=O)(O[C][O])(O[C]O1)(O[C]O6)O[C]O7)O[C]O5)(O[C]O3)O[C]O4)O[C]O[Dy]134(O[C]O[Dy]5(O[C]O[Dy]678(O[C]O[Dy](O[C]O6)(O[C]O7)O[C]O8)O[C]O5)(O[C]O1)(O[C]O3)O[C]O4)O[C]O2.O.O.O.O.O.O.O.O,[C]1=CC=C(C2=[N]=C(N=C([N]2)C2=CC=[C]C=C2)C2=CC=[C]C=C2)C=C1,24,3,[Dy][Dy].O.O,O=C(c1ccc(C2=[N]=C(N=C([N]2)c2ccc(cc2)C(=O)[O])c2ccc(C(=O)[O])cc2)cc1)[O],0,0,0,0,1.44381,4.89428,4.89428
WIFSAI01,Cu,4,[Cu],n1ccn(c2cc(n3ccnc3)cc(C3=NN=N[N]3)c2)c1,4,4,[Cu],n1ccn(c2cc(n3ccnc3)cc(C3=NN=N[N]3)c2)c1,0,0,0,0,2.34117,4.63087,4.63087
QUJLAK,Cu,5,[Cu]O[C]=O.O([Cu](O[C]=O)O[C]=O)[Cu]O[C]=O,n1cn(C2=CC=[C]C=C2)cn1,12,3,[Cu].O([Cu])[Cu],n1cn(c2ccc(cc2)C(=O)[O])cn1,1,0.313,2205.21,3235.57,7.87071,10.64156,10.64156
